hhnumber,signup,birth,employ,marital,sex,age,eduage,socclass,adult,children,shoptrips,shopbycar,transport,car,carnum,inc_hrp_a060,inc_grossnormalweekly_p344,inc_weeklyhhdispos_p389,inc_grosscurrenthhincome_p352
776,9999,9999,9999,9999,9999,9999,9999,9999,4,0,9999,9999,9999,9999,9999,9999,9999,9999,1569
777,9999,9999,9999,9999,9999,9999,9999,9999,4,0,9999,9999,9999,9999,9999,9999,9999,9999,1569
780,9999,9999,9999,9999,9999,9999,9999,9999,5,0,9999,9999,9999,9999,9999,9999,9999,9999,8076
790,9999,9999,9999,9999,9999,9999,9999,9999,8,0,9999,9999,9999,9999,9999,9999,9999,9999,2676
798,9999,9999,9999,9999,9999,9999,9999,9999,4,0,9999,9999,9999,9999,9999,9999,9999,9999,623
804,9999,9999,9999,9999,9999,9999,9999,9999,6,0,9999,9999,9999,9999,9999,9999,9999,9999,1569
807,9999,9999,9999,9999,9999,9999,9999,9999,4,0,9999,9999,9999,9999,9999,9999,9999,9999,623
813,9999,9999,9999,9999,9999,9999,9999,9999,3,0,9999,9999,9999,9999,9999,9999,9999,9999,2676
817,9999,9999,9999,9999,9999,9999,9999,9999,6,0,9999,9999,9999,9999,9999,9999,9999,9999,1569
835,9999,9999,9999,9999,9999,9999,9999,9999,5,0,9999,9999,9999,9999,9999,9999,9999,9999,1569
848,9999,9999,9999,9999,9999,9999,9999,9999,5,0,9999,9999,9999,9999,9999,9999,9999,9999,2676
852,9999,9999,9999,9999,9999,9999,9999,9999,5,0,9999,9999,9999,9999,9999,9999,9999,9999,1569
858,9999,9999,9999,9999,9999,9999,9999,9999,8,0,9999,9999,9999,9999,9999,9999,9999,9999,2676
865,9999,9999,9999,9999,9999,9999,9999,9999,4,0,9999,9999,9999,9999,9999,9999,9999,9999,2676
866,9999,9999,9999,9999,9999,9999,9999,9999,5,0,9999,9999,9999,9999,9999,9999,9999,9999,8076
870,9999,9999,9999,9999,9999,9999,9999,9999,5,0,9999,9999,9999,9999,9999,9999,9999,9999,2676
872,9999,9999,9999,9999,9999,9999,9999,9999,6,0,9999,9999,9999,9999,9999,9999,9999,9999,2676
874,9999,9999,9999,9999,9999,9999,9999,9999,4,0,9999,9999,9999,9999,9999,9999,9999,9999,1569
878,9999,9999,9999,9999,9999,9999,9999,9999,5,0,9999,9999,9999,9999,9999,9999,9999,9999,1569
882,9999,9999,9999,9999,9999,9999,9999,9999,4,0,9999,9999,9999,9999,9999,9999,9999,9999,8076
889,9999,9999,9999,9999,9999,9999,9999,9999,5,0,9999,9999,9999,9999,9999,9999,9999,9999,8076
